COMPUESTO,Fórmula,Nomenclatura Tradicional,Nomenclatura de Stock,Nomenclatura Sistemática
Sales binarias,Pb₃P₂,Fosfuro plumboso,Fosfuro de plomo (II),Difosfuro de triplomo
Sales binarias,Pd₃P₂,Fosfuro paladioso,Fosfuro de paladio (II),Difosfuro de tripaladio
Sales binarias,Pt₃P₂,Fosfuro platinoso,Fosfuro de platino (II),Difosfuro de triplatino
Sales binarias,Ra₃P₂,Fosfuro radico,Fosfuro de radio,Difosfuro de triradio
Sales binarias,Sn₃P₂,Fosfuro estannoso,Fosfuro de estaño (II),Difosfuro de triestaño
Sales binarias,Sr₃P₂,Fosfuro estróncico,Fosfuro de estroncio,Difosfuro de triestroncio
Sales binarias,V₃P₂,Fosfuro hipovanadoso,Fosfuro de vanadio (II),Difosfuro de trivanadio
Sales binarias,Zn₃P₂,Fosfuro cíncico,Fosfuro de cinc,Difosfuro de tricinc
Sales binarias,AlP,Fosfuro alumínico,Fosfuro de aluminio,Monofosfuro de aluminio
Sales binarias,AuP,Fosfuro áurico,Fosfuro de oro (III),Monofosfuro de oro
Sales binarias,CoP,Fosfuro cobáltico,Fosfuro de cobalto (III),Monofosfuro de cobalto
Sales binarias,CrP,Fosfuro crómico,Fosfuro de cromo (III),Monofosfuro de cromo
Sales binarias,FeP,Fosfuro férrico,Fosfuro de hierro (III),Monofosfuro de hierro
Sales binarias,GaP,Fosfuro gálico,Fosfuro de galio (III),Monofosfuro de galio
Sales binarias,InP,Fosfuro índico,Fosfuro de indio (III),Monofosfuro de indio
Sales binarias,MnP,Fosfuro mangánico,Fosfuro de manganeso (III),Monofosfuro de manganeso
Sales binarias,NiP,Fosfuro niquélico,Fosfuro de níquel (III),Monofosfuro de níquel
Sales binarias,ScP,Fosfuro escándico,Fosfuro de escandio,Monofosfuro de escandio
Sales binarias,TlP,Fosfuro tálico,Fosfuro de talio (III),Monofosfuro de talio
Sales binarias,VP,Fosfuro vanadoso,Fosfuro de vanadio (III),Monofosfuro de vanadio
Sales binarias,Mn₃P₄,Fosfuro mangánico superior,Fosfuro de manganeso (IV),Tetrafosfuro de trimanganeso
Sales binarias,Pb₃P₄,Fosfuro plúmbico,Fosfuro de plomo (IV),Tetrafosfuro de triplomo
Sales binarias,Pd₃P₄,Fosfuro paládico,Fosfuro de paladio (IV),Tetrafosfuro de tripaladio
Sales binarias,Pt₃P₄,Fosfuro platínico,Fosfuro de platino (IV),Tetrafosfuro de triplatino
Sales binarias,Sn₃P₄,Fosfuro estánnico,Fosfuro de estaño (IV),Tetrafosfuro de triestaño
Sales binarias,V₃P₄,Fosfuro vanádico,Fosfuro de vanadio (IV),Tetrafosfuro de trivanadio
Sales binarias,V₃P₅,Fosfuro pervanádico,Fosfuro de vanadio (V),Pentafosfuro de trivanadio
Sales binarias,CrP₂,Fosfuro crómico superior,Fosfuro de cromo (VI),Difosfuro de cromo
Sales binarias,MnP₂,Fosfuro permangánico,Fosfuro de manganeso (VI),Difosfuro de manganeso
Sales binarias,Mn₃P₇,Fosfuro hipermangánico,Fosfuro de manganeso (VII),Heptafosfuro de trimanganeso
Sales binarias,Ag₃N,Nitruro argéntico,Nitruro de plata,Mononitruro de triplata
Sales binarias,Au₃N,Nitruro auroso,Nitruro de oro (I),Mononitruro de trioro
Sales binarias,Cs₃N,Nitruro césico,Nitruro de cesio,Mononitruro de tricesio
Sales binarias,Cu₃N,Nitruro cuproso,Nitruro de cobre (I),Mononitruro de tricobre
Sales binarias,Fr₃N,Nitruro fráncico,Nitruro de francio,Mononitruro de trifrancio
Sales binarias,Hg₆N₂,Nitruro mercurioso,Nitruro de mercurio (I),Dinitruro de hexamercurio
Sales binarias,K₃N,Nitruro potásico,Nitruro de potasio,Mononitruro de tripotasio
Sales binarias,Li₃N,Nitruro lítico,Nitruro de litio,Mononitruro de trilitio
Sales binarias,Na₃N,Nitruro sódico,Nitruro de sodio,Mononitruro de trisodio
Sales binarias,Rb₃N,Nitruro rubídico,Nitruro de rubidio,Mononitruro de trirubidio
Sales binarias,Tl₃N,Nitruro talioso,Nitruro de talio (I),Mononitruro de tritalio
Sales binarias,Ba₃N₂,Nitruro bárico,Nitruro de bario,Dinitruro de tribario
Sales binarias,Be₃N₂,Nitruro berílico,Nitruro de berilio,Dinitruro de triberilio
Sales binarias,Ca₃N₂,Nitruro cálcico,Nitruro de calcio,Dinitruro de tricalcio
Sales binarias,Cd₃N₂,Nitruro cádmico,Nitruro de cadmio,Dinitruro de tricadmio
Sales binarias,Co₃N₂,Nitruro cobaltoso,Nitruro de cobalto (II),Dinitruro de tricobalto
Sales binarias,Cr₃N₂,Nitruro cromoso,Nitruro de cromo (II),Dinitruro de tricromo
Sales binarias,Cu₃N₂,Nitruro cúprico,Nitruro de cobre (II),Dinitruro de tricobre
Sales binarias,Fe₃N₂,Nitruro ferroso,Nitruro de hierro (II),Dinitruro de trihierro
Sales binarias,Hg₃N₂,Nitruro mercúrico,Nitruro de mercurio (II),Dinitruro de trimercurio
Sales binarias,Mg₃N₂,Nitruro magnésico,Nitruro de magnesio,Dinitruro de trimagnesio
Sales binarias,Mn₃N₂,Nitruro manganoso,Nitruro de manganeso (II),Dinitruro de trimanganeso
Sales binarias,Ni₃N₂,Nitruro niqueloso,Nitruro de níquel (II),Dinitruro de triníquel
Sales binarias,Pb₃N₂,Nitruro plumboso,Nitruro de plomo (II),Dinitruro de triplomo
Sales binarias,Pd₃N₂,Nitruro paladioso,Nitruro de paladio (II),Dinitruro de tripaladio
Sales binarias,Pt₃N₂,Nitruro platinoso,Nitruro de platino (II),Dinitruro de triplatino
Sales binarias,Ra₃N₂,Nitruro radico,Nitruro de radio,Dinitruro de triradio
Sales binarias,Sn₃N₂,Nitruro estannoso,Nitruro de estaño (II),Dinitruro de triestaño
Sales binarias,Sr₃N₂,Nitruro estróncico,Nitruro de estroncio,Dinitruro de triestroncio
Sales binarias,V₃N₂,Nitruro hipovanadoso,Nitruro de vanadio (II),Dinitruro de trivanadio
Sales binarias,Zn₃N₂,Nitruro cíncico,Nitruro de cinc,Dinitruro de tricinc
Sales binarias,AlN,Nitruro alumínico,Nitruro de aluminio,Mononitruro de aluminio
Sales binarias,AuN,Nitruro áurico,Nitruro de oro (III),Mononitruro de oro
Sales binarias,CoN,Nitruro cobáltico,Nitruro de cobalto (III),Mononitruro de cobalto
Sales binarias,CrN,Nitruro crómico,Nitruro de cromo (III),Mononitruro de cromo
Sales binarias,FeN,Nitruro férrico,Nitruro de hierro (III),Mononitruro de hierro
Sales binarias,GaN,Nitruro gálico,Nitruro de galio (III),Mononitruro de galio
Sales binarias,InN,Nitruro índico,Nitruro de indio (III),Mononitruro de indio
Sales binarias,MnN,Nitruro mangánico,Nitruro de manganeso (III),Mononitruro de manganeso
Sales binarias,NiN,Nitruro niquélico,Nitruro de níquel (III),Mononitruro de níquel
Sales binarias,ScN,Nitruro escándico,Nitruro de escandio,Mononitruro de escandio
Sales binarias,TlN,Nitruro tálico,Nitruro de talio (III),Mononitruro de talio
Sales binarias,VN,Nitruro vanadoso,Nitruro de vanadio (III),Mononitruro de vanadio
Sales binarias,Mn₃N₄,Nitruro mangánico superior,Nitruro de manganeso (IV),Tetranitruro de trimanganeso
Sales binarias,Pb₃N₄,Nitruro plúmbico,Nitruro de plomo (IV),Tetranitruro de triplomo
Sales binarias,Pd₃N₄,Nitruro paládico,Nitruro de paladio (IV),Tetranitruro de tripaladio
Sales binarias,Pt₃N₄,Nitruro platínico,Nitruro de platino (IV),Tetranitruro de triplatino
Sales binarias,Sn₃N₄,Nitruro estánnico,Nitruro de estaño (IV),Tetranitruro de triestaño
Sales binarias,TiS₂,Sulfuro titánico,Sulfuro de titanio (IV),Disulfuro de titanio
Sales binarias,V₃N₄,Nitruro vanádico,Nitruro de vanadio (IV),Tetranitruro de trivanadio
Sales binarias,V₃N₅,Nitruro pervanádico,Nitruro de vanadio (V),Pentanitruro de trivanadio
Sales binarias,CrN₂,Nitruro crómico superior,Nitruro de cromo (VI),Dinitruro de cromo
Sales binarias,MnN₂,Nitruro permangánico,Nitruro de manganeso (VI),Dinitruro de manganeso
Sales binarias,Mn₃N₇,Nitruro hipermangánico,Nitruro de manganeso (VII),Heptanitruro de trimanganeso
Sales binarias,Ag₂Se,Seleniuro argéntico,Seleniuro de plata,Monoseleniuro de diplata
Sales binarias,Au₂Se,Seleniuro auroso,Seleniuro de oro (I),Monoseleniuro de dioro
Sales binarias,Cs₂Se,Seleniuro césico,Seleniuro de cesio,Monoseleniuro de dicesio
Sales binarias,Cu₂Se,Seleniuro cuproso,Seleniuro de cobre (I),Monoseleniuro de dicobre
Sales binarias,Fr₂Se,Seleniuro fráncico,Seleniuro de francio,Monoseleniuro de difrancio
Sales binarias,Hg₂Se,Seleniuro mercurioso,Seleniuro de mercurio (I),Monoseleniuro de dimercurio
Sales binarias,K₂Se,Seleniuro potásico,Seleniuro de potasio,Monoseleniuro de dipotasio
Sales binarias,Li₂Se,Seleniuro lítico,Seleniuro de litio,Monoseleniuro de dilitio
Sales binarias,Na₂Se,Seleniuro sódico,Seleniuro de sodio,Monoseleniuro de disodio
Sales binarias,Rb₂Se,Seleniuro rubídico,Seleniuro de rubidio,Monoseleniuro de dirubidio
Sales binarias,Tl₂Se,Seleniuro talioso,Seleniuro de talio (I),Monoseleniuro de ditalio
Sales binarias,BaSe,Seleniuro bárico,Seleniuro de bario,Monoseleniuro de bario
Sales binarias,BeSe,Seleniuro berílico,Seleniuro de berilio,Monoseleniuro de berilio
Sales binarias,CaSe,Seleniuro cálcico,Seleniuro de calcio,Monoseleniuro de calcio
Sales binarias,CdSe,Seleniuro cádmico,Seleniuro de cadmio,Monoseleniuro de cadmio
Sales binarias,CoSe,Seleniuro cobaltoso,Seleniuro de cobalto (II),Monoseleniuro de cobalto
Sales binarias,CrSe,Seleniuro cromoso,Seleniuro de cromo (II),Monoseleniuro de cromo
Sales binarias,CuSe,Seleniuro cúprico,Seleniuro de cobre (II),Monoseleniuro de cobre
Sales binarias,FeSe,Seleniuro ferroso,Seleniuro de hierro (II),Monoseleniuro de hierro
Sales binarias,HgSe,Seleniuro mercúrico,Seleniuro de mercurio (II),Monoseleniuro de mercurio
Sales binarias,MgSe,Seleniuro magnésico,Seleniuro de magnesio,Monoseleniuro de magnesio
Sales binarias,MnSe,Seleniuro manganoso,Seleniuro de manganeso (II),Monoseleniuro de manganeso
Sales binarias,NiSe,Seleniuro niqueloso,Seleniuro de níquel (II),Monoseleniuro de níquel
Sales binarias,PbSe,Seleniuro plumboso,Seleniuro de plomo (II),Monoseleniuro de plomo
Sales binarias,PdSe,Seleniuro paladioso,Seleniuro de paladio (II),Monoseleniuro de paladio
Sales binarias,PtSe,Seleniuro platinoso,Seleniuro de platino (II),Monoseleniuro de platino
Sales binarias,RaSe,Seleniuro radico,Seleniuro de radio,Monoseleniuro de radio
Sales binarias,SnSe,Seleniuro estannoso,Seleniuro de estaño (II),Monoseleniuro de estaño
Sales binarias,SrSe,Seleniuro estróncico,Seleniuro de estroncio,Monoseleniuro de estroncio
Sales binarias,TiBr₄,Bromuro titánico,Bromuro de titanio (IV),Tetrabromuro de titanio
Sales binarias,VSe,Seleniuro hipovanadoso,Seleniuro de vanadio (II),Monoseleniuro de vanadio
Sales binarias,ZnSe,Seleniuro cíncico,Seleniuro de cinc,Monoseleniuro de cinc
Sales binarias,Al₂Se₃,Seleniuro alumínico,Seleniuro de aluminio,Triseleniuro de dialuminio
Sales binarias,Au₂Se₃,Seleniuro áurico,Seleniuro de oro (III),Triseleniuro de dioro
Sales binarias,Co₂Se₃,Seleniuro cobáltico,Seleniuro de cobalto (III),Triseleniuro de dicobalto
Sales binarias,Cr₂Se₃,Seleniuro crómico,Seleniuro de cromo (III),Triseleniuro de dicromo
Sales binarias,Fe₂Se₃,Seleniuro férrico,Seleniuro de hierro (III),Triseleniuro de dihierro
Sales binarias,Ga₂Se₃,Seleniuro gálico,Seleniuro de galio (III),Triseleniuro de digalio
Sales binarias,In₂Se₃,Seleniuro índico,Seleniuro de indio (III),Triseleniuro de diindio
Sales binarias,Mn₂Se₃,Seleniuro mangánico,Seleniuro de manganeso (III),Triseleniuro de dimanganeso
Sales binarias,Ni₂Se₃,Seleniuro niquélico,Seleniuro de níquel (III),Triseleniuro de diníquel
Sales binarias,Sc₂Se₃,Seleniuro escándico,Seleniuro de escandio,Triseleniuro de diescandio
Sales binarias,TiC,Carburo titánico,Carburo de titanio (IV),Monocarburo de titanio
Sales binarias,Tl₂Se₃,Seleniuro tálico,Seleniuro de talio (III),Triseleniuro de ditalio
Sales binarias,V₂Se₃,Seleniuro vanadoso,Seleniuro de vanadio (III),Triseleniuro de divanadio
Sales binarias,MnSe₂,Seleniuro mangánico superior,Seleniuro de manganeso (IV),Diseleniuro de manganeso
Sales binarias,PbSe₂,Seleniuro plúmbico,Seleniuro de plomo (IV),Diseleniuro de plomo
Sales binarias,PdSe₂,Seleniuro paládico,Seleniuro de paladio (IV),Diseleniuro de paladio
Sales binarias,PtSe₂,Seleniuro platínico,Seleniuro de platino (IV),Diseleniuro de platino
Sales binarias,SnSe₂,Seleniuro estánnico,Seleniuro de estaño (IV),Diseleniuro de estaño
Sales binarias,TiCl₄,Cloruro titánico,Cloruro de titanio (IV),Tetracloruro de titanio
Sales binarias,VSe₂,Seleniuro vanádico,Seleniuro de vanadio (IV),Diseleniuro de vanadio
Sales binarias,V₂Se₅,Seleniuro pervanádico,Seleniuro de vanadio (V),Pentaseleniuro de divanadio
Sales binarias,CrSe₃,Seleniuro crómico superior,Seleniuro de cromo (VI),Triseleniuro de cromo
Sales binarias,MnSe₃,Seleniuro permangánico,Seleniuro de manganeso (VI),Triseleniuro de manganeso
Sales binarias,Mn₂Se₇,Seleniuro hipermangánico,Seleniuro de manganeso (VII),Heptaseleniuro de dimanganeso
Sales binarias,Ag₂Te,Telururo argéntico,Telururo de plata,Monotelururo de diplata
Sales binarias,Au₂Te,Telururo auroso,Telururo de oro (I),Monotelururo de dioro
Sales binarias,Cs₂Te,Telururo césico,Telururo de cesio,Monotelururo de dicesio
Sales binarias,Cu₂Te,Telururo cuproso,Telururo de cobre (I),Monotelururo de dicobre
Sales binarias,Fr₂Te,Telururo fráncico,Telururo de francio,Monotelururo de difrancio
Sales binarias,Hg₂Te,Telururo mercurioso,Telururo de mercurio (I),Monotelururo de dimercurio
Sales binarias,K₂Te,Telururo potásico,Telururo de potasio,Monotelururo de dipotasio
Sales binarias,Li₂Te,Telururo lítico,Telururo de litio,Monotelururo de dilitio
Sales binarias,Na₂Te,Telururo sódico,Telururo de sodio,Monotelururo de disodio
Sales binarias,Rb₂Te,Telururo rubídico,Telururo de rubidio,Monotelururo de dirubidio
Sales binarias,Tl₂Te,Telururo talioso,Telururo de talio (I),Monotelururo de ditalio
Sales binarias,BaTe,Telururo bárico,Telururo de bario,Monotelururo de bario
Sales binarias,BeTe,Telururo berílico,Telururo de berilio,Monotelururo de berilio
Sales binarias,CaTe,Telururo cálcico,Telururo de calcio,Monotelururo de calcio
Sales binarias,CdTe,Telururo cádmico,Telururo de cadmio,Monotelururo de cadmio
Sales binarias,CoTe,Telururo cobaltoso,Telururo de cobalto (II),Monotelururo de cobalto
Sales binarias,CrTe,Telururo cromoso,Telururo de cromo (II),Monotelururo de cromo
Sales binarias,CuTe,Telururo cúprico,Telururo de cobre (II),Monotelururo de cobre
Sales binarias,FeTe,Telururo ferroso,Telururo de hierro (II),Monotelururo de hierro
Sales binarias,HgTe,Telururo mercúrico,Telururo de mercurio (II),Monotelururo de mercurio
Sales binarias,MgTe,Telururo magnésico,Telururo de magnesio,Monotelururo de magnesio
Sales binarias,MnTe,Telururo manganoso,Telururo de manganeso (II),Monotelururo de manganeso
Sales binarias,NiTe,Telururo niqueloso,Telururo de níquel (II),Monotelururo de níquel
Sales binarias,PbTe,Telururo plumboso,Telururo de plomo (II),Monotelururo de plomo
Sales binarias,PdTe,Telururo paladioso,Telururo de paladio (II),Monotelururo de paladio
Sales binarias,PtTe,Telururo platinoso,Telururo de platino (II),Monotelururo de platino
Sales binarias,RaTe,Telururo radico,Telururo de radio,Monotelururo de radio
Sales binarias,SnTe,Telururo estannoso,Telururo de estaño (II),Monotelururo de estaño
Sales binarias,SrTe,Telururo estróncico,Telururo de estroncio,Monotelururo de estroncio
Sales binarias,TiF₄,Fluoruro titánico,Fluoruro de titanio (IV),Tetrafluoruro de titanio
Sales binarias,VTe,Telururo hipovanadoso,Telururo de vanadio (II),Monotelururo de vanadio
Sales binarias,ZnTe,Telururo cíncico,Telururo de cinc,Monotelururo de cinc
Sales binarias,Al₂Te₃,Telururo alumínico,Telururo de aluminio,Tritelururo de dialuminio
Sales binarias,Au₂Te₃,Telururo áurico,Telururo de oro (III),Tritelururo de dioro
Sales binarias,Co₂Te₃,Telururo cobáltico,Telururo de cobalto (III),Tritelururo de dicobalto
Sales binarias,Cr₂Te₃,Telururo crómico,Telururo de cromo (III),Tritelururo de dicromo
Sales binarias,Fe₂Te₃,Telururo férrico,Telururo de hierro (III),Tritelururo de dihierro
Sales binarias,Ga₂Te₃,Telururo gálico,Telururo de galio (III),Tritelururo de digalio
Sales binarias,In₂Te₃,Telururo índico,Telururo de indio (III),Tritelururo de diindio
Sales binarias,Mn₂Te₃,Telururo mangánico,Telururo de manganeso (III),Tritelururo de dimanganeso
Sales binarias,Ni₂Te₃,Telururo niquélico,Telururo de níquel (III),Tritelururo de diníquel
Sales binarias,Sc₂Te₃,Telururo escándico,Telururo de escandio,Tritelururo de diescandio
Sales binarias,Ti₃P₄,Fosfuro titánico,Fosfuro de titanio (IV),Tetrafosfuro de trititanio
Sales binarias,Tl₂Te₃,Telururo tálico,Telururo de talio (III),Tritelururo de ditalio
Sales binarias,V₂Te₃,Telururo vanadoso,Telururo de vanadio (III),Tritelururo de divanadio
Sales binarias,MnTe₂,Telururo mangánico superior,Telururo de manganeso (IV),Ditelururo de manganeso
Sales binarias,PbTe₂,Telururo plúmbico,Telururo de plomo (IV),Ditelururo de plomo
Sales binarias,PdTe₂,Telururo paládico,Telururo de paladio (IV),Ditelururo de paladio
Sales binarias,PtTe₂,Telururo platínico,Telururo de platino (IV),Ditelururo de platino
Sales binarias,SnTe₂,Telururo estánnico,Telururo de estaño (IV),Ditelururo de estaño
Sales binarias,Ti₃N₄,Nitruro titánico,Nitruro de titanio (IV),Tetranitruro de trititanio
Sales binarias,VTe₂,Telururo vanádico,Telururo de vanadio (IV),Ditelururo de vanadio
Sales binarias,V₂Te₅,Telururo pervanádico,Telururo de vanadio (V),Pentalururo de divanadio
Sales binarias,CrTe₃,Telururo crómico superior,Telururo de cromo (VI),Tritelururo de cromo
Sales binarias,MnTe₃,Telururo permangánico,Telururo de manganeso (VI),Tritelururo de manganeso
Sales binarias,Mn₂Te₇,Telururo hipermangánico,Telururo de manganeso (VII),Heptatelururo de dimanganeso
Sales binarias,AgI,Yoduro argéntico,Yoduro de plata,Monoyoduro de plata
Sales binarias,AuI,Yoduro auroso,Yoduro de oro (I),Monoyoduro de oro
Sales binarias,CsI,Yoduro césico,Yoduro de cesio,Monoyoduro de cesio
Sales binarias,CuI,Yoduro cuproso,Yoduro de cobre (I),Monoyoduro de cobre
Sales binarias,FrI,Yoduro fráncico,Yoduro de francio,Monoyoduro de francio
Sales binarias,Hg₂I₂,Yoduro mercurioso,Yoduro de mercurio (I),Diyoduro de dimercurio
Sales binarias,KI,Yoduro potásico,Yoduro de potasio,Monoyoduro de potasio
Sales binarias,LiI,Yoduro lítico,Yoduro de litio,Monoyoduro de litio
Sales binarias,NaI,Yoduro sódico,Yoduro de sodio,Monoyoduro de sodio
Sales binarias,RbI,Yoduro rubídico,Yoduro de rubidio,Monoyoduro de rubidio
Sales binarias,TlI,Yoduro talioso,Yoduro de talio (I),Monoyoduro de talio
Sales binarias,BaI₂,Yoduro bárico,Yoduro de bario,Diyoduro de bario
Sales binarias,BeI₂,Yoduro berílico,Yoduro de berilio,Diyoduro de berilio
Sales binarias,CaI₂,Yoduro cálcico,Yoduro de calcio,Diyoduro de calcio
Sales binarias,CdI₂,Yoduro cádmico,Yoduro de cadmio,Diyoduro de cadmio
Sales binarias,CoI₂,Yoduro cobaltoso,Yoduro de cobalto (II),Diyoduro de cobalto
Sales binarias,CrI₂,Yoduro cromoso,Yoduro de cromo (II),Diyoduro de cromo
Sales binarias,CuI₂,Yoduro cúprico,Yoduro de cobre (II),Diyoduro de cobre
Sales binarias,FeI₂,Yoduro ferroso,Yoduro de hierro (II),Diyoduro de hierro
Sales binarias,HgI₂,Yoduro mercúrico,Yoduro de mercurio (II),Diyoduro de mercurio
Sales binarias,MgI₂,Yoduro magnésico,Yoduro de magnesio,Diyoduro de magnesio
Sales binarias,MnI₂,Yoduro manganoso,Yoduro de manganeso (II),Diyoduro de manganeso
Sales binarias,NiI₂,Yoduro niqueloso,Yoduro de níquel (II),Diyoduro de níquel
Sales binarias,PbI₂,Yoduro plumboso,Yoduro de plomo (II),Diyoduro de plomo
Sales binarias,PdI₂,Yoduro paladioso,Yoduro de paladio (II),Diyoduro de paladio
Sales binarias,PtI₂,Yoduro platinoso,Yoduro de platino (II),Diyoduro de platino
Sales binarias,RaI₂,Yoduro radico,Yoduro de radio,Diyoduro de radio
Sales binarias,SnI₂,Yoduro estannoso,Yoduro de estaño (II),Diyoduro de estaño
Sales binarias,SrI₂,Yoduro estróncico,Yoduro de estroncio,Diyoduro de estroncio
Sales binarias,TiSe₂,Seleniuro titánico,Seleniuro de titanio (IV),Diseleniuro de titanio
Sales binarias,VI₂,Yoduro hipovanadoso,Yoduro de vanadio (II),Diyoduro de vanadio
Sales binarias,ZnI₂,Yoduro cíncico,Yoduro de cinc,Diyoduro de cinc
Sales binarias,AlI₃,Yoduro alumínico,Yoduro de aluminio,Triyoduro de aluminio
Sales binarias,AuI₃,Yoduro áurico,Yoduro de oro (III),Triyoduro de oro
Sales binarias,CoI₃,Yoduro cobáltico,Yoduro de cobalto (III),Triyoduro de cobalto
Sales binarias,CrI₃,Yoduro crómico,Yoduro de cromo (III),Triyoduro de cromo
Sales binarias,FeI₃,Yoduro férrico,Yoduro de hierro (III),Triyoduro de hierro
Sales binarias,GaI₃,Yoduro gálico,Yoduro de galio (III),Triyoduro de galio
Sales binarias,InI₃,Yoduro índico,Yoduro de indio (III),Triyoduro de indio
Sales binarias,MnI₃,Yoduro mangánico,Yoduro de manganeso (III),Triyoduro de manganeso
Sales binarias,NiI₃,Yoduro niquélico,Yoduro de níquel (III),Triyoduro de níquel
Sales binarias,ScI₃,Yoduro escándico,Yoduro de escandio,Triyoduro de escandio
Sales binarias,TiTe₂,Telururo titánico,Telururo de titanio (IV),Ditelururo de titanio
Sales binarias,TlI₃,Yoduro tálico,Yoduro de talio (III),Triyoduro de talio
Sales binarias,VI₃,Yoduro vanadoso,Yoduro de vanadio (III),Triyoduro de vanadio
Sales binarias,PbI₄,Yoduro plúmbico,Yoduro de plomo (IV),Tetrayoduro de plomo
Sales binarias,PdI₄,Yoduro paládico,Yoduro de paladio (IV),Tetrayoduro de paladio
Sales binarias,PtI₄,Yoduro platínico,Yoduro de platino (IV),Tetrayoduro de platino
Sales binarias,SnI₄,Yoduro estánnico,Yoduro de estaño (IV),Tetrayoduro de estaño
Sales binarias,TiI₄,Yoduro titánico,Yoduro de titanio (IV),Tetrayoduro de titanio
Sales binarias,VI₄,Yoduro vanádico,Yoduro de vanadio (IV),Tetrayoduro de vanadio
Oxosal Ácida,Al(HSO₃)₃,Sulfito ácido de aluminio,Hidrogenosulfito de aluminio,Tris[hidrogenotrioxosulfato (IV)] de aluminio
Oxosal Ácida,Al(HSO₄)₃,Sulfato ácido de aluminio,Hidrogenosulfato de aluminio,Tris[hidrogenotetraoxosulfato (VI)] de aluminio
Oxosal Ácida,Al(HCO₃)₃,Carbonato ácido de aluminio,Hidrogenocarbonato de aluminio,Tris[hidrogenotrioxocarbonato (IV)] de aluminio
Oxosal Ácida,Al(H₂PO₄)₃,Fosfato diácido de aluminio,Dihidrogenofosfato de aluminio,Tris[dihidrogenotetraoxofosfato (V)] de aluminio
Oxosal Ácida,Al(H₂AsO₄)₃,Arseniato diácido de aluminio,Dihidrogenoarseniato de aluminio,Tris[dihidrogenotetraoxoarseniato (V)] de aluminio
Oxosal Ácida,Al(HCrO₄)₃,Cromato ácido de aluminio,Hidrogenocromato de aluminio,Tris[hidrogenotetraoxocromato (VI)] de aluminio
Oxosal Ácida,Ba(HSO₃)₂,Sulfito ácido de bario,Hidrogenosulfito de bario,Bis[hidrogenotrioxosulfato (IV)] de bario
Oxosal Ácida,Ba(HSO₄)₂,Sulfato ácido de bario,Hidrogenosulfato de bario,Bis[hidrogenotetraoxosulfato (VI)] de bario
Oxosal Ácida,Ba(HCO₃)₂,Carbonato ácido de bario,Hidrogenocarbonato de bario,Bis[hidrogenotrioxocarbonato (IV)] de bario
Oxosal Ácida,BaHPO₄,Fosfato ácido de bario,Hidrogenofosfato de bario,Hidrogenotetraoxofosfato (V) de bario
Oxosal Ácida,Ba(HCrO₄)₂,Cromato ácido de bario,Hidrogenocromato de bario,Bis[hidrogenotetraoxocromato (VI)] de bario
Oxosal Ácida,Ba(HMnO₄)₂,Manganato ácido de bario,Hidrogenomanganato de bario,Bis[hidrogenotetraoxomanganato (VI)] de bario
Oxosal Ácida,Be(HSO₄)₂,Sulfato ácido de berilio,Hidrogenosulfato de berilio,Bis[hidrogenotetraoxosulfato (VI)] de berilio
Oxosal Ácida,Be(HCO₃)₂,Carbonato ácido de berilio,Hidrogenocarbonato de berilio,Bis[hidrogenotrioxocarbonato (IV)] de berilio
Oxosal Ácida,BeHPO₄,Fosfato ácido de berilio,Hidrogenofosfato de berilio,Hidrogenotetraoxofosfato (V) de berilio
Oxosal Ácida,Cd(HSO₄)₂,Sulfato ácido de cadmio,Hidrogenosulfato de cadmio,Bis[hidrogenotetraoxosulfato (VI)] de cadmio
Oxosal Ácida,Cd(HCO₃)₂,Carbonato ácido de cadmio,Hidrogenocarbonato de cadmio,Bis[hidrogenotrioxocarbonato (IV)] de cadmio
Oxosal Ácida,Ca(HSO₃)₂,Sulfito ácido de calcio,Hidrogenosulfito de calcio,Bis[hidrogenotrioxosulfato (IV)] de calcio
Oxosal Ácida,Ca(HSO₄)₂,Sulfato ácido de calcio,Hidrogenosulfato de calcio,Bis[hidrogenotetraoxosulfato (VI)] de calcio
Oxosal Ácida,Ca(HCO₃)₂,Carbonato ácido de calcio,Hidrogenocarbonato de calcio,Bis[hidrogenotrioxocarbonato (IV)] de calcio
Oxosal Ácida,CaHPO₄,Fosfato ácido de calcio,Hidrogenofosfato de calcio,Hidrogenotetraoxofosfato (V) de calcio
Oxosal Ácida,CaHAsO₄,Arseniato ácido de calcio,Hidrogenoarseniato de calcio,Hidrogenotetraoxoarseniato (V) de calcio
Oxosal Ácida,CsHSO₄,Sulfato ácido de cesio,Hidrogenosulfato de cesio,Hidrogenotetraoxosulfato (VI) de cesio
Oxosal Ácida,CsHCO₃,Carbonato ácido de cesio,Hidrogenocarbonato de cesio,Hidrogenotrioxocarbonato (IV) de cesio
Oxosal Ácida,CsH₂PO₄,Fosfato diácido de cesio,Dihidrogenofosfato de cesio,Dihidrogenotetraoxofosfato (V) de cesio
Oxosal Ácida,CsHCr₂O₇,Dicromato ácido de cesio,Hidrogenodicromato de cesio,Hidrogenoheptaoxodicromato (VI) de cesio
Oxosal Ácida,Zn(HSO₄)₂,Sulfato ácido de cinc,Hidrogenosulfato de cinc,Bis[hidrogenotetraoxosulfato (VI)] de zinc
